id,quarter,energy_product,sub_product,value_ktoe,num_of_barrel,price per barrel,total_price,
1,2015.1,crude oil,crude oil,12022,1640,50.13,822.13,
2,2015.2,crude oil,crude oil,12022,1640,41.43,679.45,
3,2015.3,crude oil,crude oil,12022,1640,59.81,980.88,
4,2015.4,crude oil,crude oil,12022,1640,52.79,865.76,
5,2016.1,crude oil,crude oil,12911,1761,39.76,700.17,
6,2016.2,crude oil,crude oil,12911,1761,44.14,777.31,
7,2016.3,crude oil,crude oil,12911,1761,47.45,835.59,
8,2016.4,crude oil,crude oil,12911,1761,50.79,894.41,
9,2017.1,crude oil,crude oil,14157,1931,37.09,716.21,
10,2017.2,crude oil,crude oil,14157,1931,39.09,754.83,
11,2017.3,crude oil,crude oil,14157,1931,44.44,858.14,
12,2017.4,crude oil,crude oil,14157,1931,43.1,832.26,
13,2018.1,crude oil,crude oil,13797,1882,47.45,893.01,
14,2018.2,crude oil,crude oil,13797,1882,45.78,861.58,
15,2018.3,crude oil,crude oil,13797,1882,36.75,691.64,
16,2018.4,crude oil,crude oil,13797,1882,43.44,817.54,
17,2019.1,crude oil,crude oil,13100,1787,40.43,722.48,
18,2019.2,crude oil,crude oil,13100,1787,36.75,656.72,
19,2019.3,crude oil,crude oil,13100,1787,43.1,770.20,
20,2019.4,crude oil,crude oil,13100,1787,42.1,752.33,
21,2020.1,crude oil,crude oil,10124,1682,30.07,505.78,
22,2020.2,crude oil,crude oil,10124,1682,24.39,410.24,
23,2020.3,crude oil,crude oil,10124,1682,22.39,376.60,
24,2020.4,crude oil,crude oil,10124,1682,18.71,314.70,
25,2021.1,crude oil,crude oil,11553,1576,27.73,437.02,
26,2021.2,crude oil,crude oil,11553,1576,33.08,521.34,
27,2021.3,crude oil,crude oil,11553,1576,35.75,563.42,
28,2021.4,crude oil,crude oil,11553,1576,40.13,632.45,