id,quarter,energy_product,sub_product,value_ktoe,num_of_barrel,price per galon,total_price
1,2015.1,petroleum,Gasoline,3903,532,1.252,666.06
2,2015.2,petroleum,Gasoline,3903,532,1.753,932.6
3,2015.3,petroleum,Gasoline,3903,532,1.628,866.1
4,2015.4,petroleum,Gasoline,3903,532,1.494,794.81
5,2016.1,petroleum,Gasoline,4222,576,1.344,774.14
6,2016.2,petroleum,Gasoline,4222,576,1.177,677.95
7,2016.3,petroleum,Gasoline,4222,576,1.085,624.96
8,2016.4,petroleum,Gasoline,4222,576,1.252,721.15
9,2017.1,petroleum,Gasoline,4170,569,1.352,769.29
10,2017.2,petroleum,Gasoline,4170,569,1.377,783.51
11,2017.3,petroleum,Gasoline,4170,569,1.127,641.26
12,2017.4,petroleum,Gasoline,4170,569,1.168,664.59
13,2018.1,petroleum,Gasoline,4160,567,1.427,809.11
14,2018.2,petroleum,Gasoline,4160,567,1.252,709.88
15,2018.3,petroleum,Gasoline,4160,567,1.36,771.12
16,2018.4,petroleum,Gasoline,4160,567,1.243,704.78
17,2019.1,petroleum,Gasoline,4143,565,1.152,650.88
18,2019.2,petroleum,Gasoline,4143,565,1.085,613.03
19,2019.3,petroleum,Gasoline,4143,565,1.202,679.13
20,2019.4,petroleum,Gasoline,4143,565,1.153,651.45
21,2020.1,petroleum,Gasoline,4442,606,0.74,448.44
22,2020.2,petroleum,Gasoline,4442,606,0.72,436.32
23,2020.3,petroleum,Gasoline,4442,606,1.076,652.06
24,2020.4,petroleum,Gasoline,4442,606,0.99,599.94
25,2021.1,petroleum,Gasoline,3531,481,1.093,525.73
26,2021.2,petroleum,Gasoline,3531,481,1.394,670.51
27,2021.3,petroleum,Gasoline,3531,481,1.477,710.44
28,2021.4,petroleum,Gasoline,3531,481,1.569,754.69